date,chlor_a,status,source_file
2019-04-27,,filled,ST.nc
2019-04-28,5.826434612,filled,ST.nc
2019-04-29,,filled,ST.nc
2019-04-30,,filled,ST.nc
2019-05-01,3.672011137,filled,ST.nc
2019-05-02,,filled,ST.nc
2019-05-03,6.76369381,filled,ST.nc
2019-05-04,,filled,ST.nc
2019-05-05,2.532785654,filled,ST.nc
2019-05-06,,filled,ST.nc
2019-05-07,2.073651552,filled,ST.nc
2019-05-08,2.81691432,filled,ST.nc
2019-05-09,,filled,ST.nc
2019-05-10,9.404364586,filled,ST.nc
2019-05-11,3.185729027,filled,ST.nc
2019-05-12,2.816923618,filled,ST.nc
2019-05-13,,filled,ST.nc
2019-05-14,2.999110222,filled,ST.nc
2019-05-15,,filled,ST.nc
2019-05-16,,filled,ST.nc
2019-05-17,2.488922358,filled,ST.nc
2019-05-18,5.555183887,filled,ST.nc
2019-05-19,4.933891773,filled,ST.nc
2019-05-20,3.499359369,filled,ST.nc
2019-05-21,,filled,ST.nc
2019-05-22,,filled,ST.nc
2019-05-23,1.578210473,filled,ST.nc
2019-05-24,4.396018982,filled,ST.nc
2019-05-25,1.678781033,filled,ST.nc
2019-05-26,3.061677694,filled,ST.nc
2019-05-27,9.000975609,filled,ST.nc
2019-05-28,2.916828871,filled,ST.nc
2019-05-29,10.98362637,filled,ST.nc
2019-05-30,2.252471924,filled,ST.nc
2019-05-31,1.855466008,filled,ST.nc
2019-06-01,,filled,ST.nc
2019-06-02,1.983562112,filled,ST.nc
2019-06-03,1.432119012,filled,ST.nc
2019-06-04,1.612563252,filled,ST.nc
2019-06-05,,filled,ST.nc
2019-06-06,,filled,ST.nc
2019-06-07,,filled,ST.nc
2019-06-08,,filled,ST.nc
2019-06-09,,filled,ST.nc
2019-06-10,2.663362026,filled,ST.nc
2019-06-11,,filled,ST.nc
2019-06-12,,filled,ST.nc
2019-06-13,,filled,ST.nc
2019-06-14,,filled,ST.nc
2019-06-15,,filled,ST.nc
2019-06-16,,filled,ST.nc
2019-06-17,,filled,ST.nc
2019-06-18,,filled,ST.nc
2019-06-19,,filled,ST.nc
2019-06-20,,filled,ST.nc
2019-06-21,2.81272912,filled,ST.nc
2019-06-22,,filled,ST.nc
2019-06-23,1.166930079,filled,ST.nc
2019-06-24,4.301490784,filled,ST.nc
2019-06-25,,filled,ST.nc
2019-06-26,1.139061213,filled,ST.nc
2019-06-27,,filled,ST.nc
2019-06-28,,filled,ST.nc
2019-06-29,,filled,ST.nc
2019-06-30,,filled,ST.nc
2019-07-01,3.649416447,filled,ST.nc
2019-07-02,,filled,ST.nc
2019-07-03,2.426702738,filled,ST.nc
2019-07-04,,filled,ST.nc
2019-07-05,,filled,ST.nc
2019-07-06,,filled,ST.nc
2019-07-07,,filled,ST.nc
2019-07-08,6.404923439,filled,ST.nc
2019-07-09,,filled,ST.nc
2019-07-10,,filled,ST.nc
2019-07-11,,filled,ST.nc
2019-07-12,4.547956467,filled,ST.nc
2019-07-13,,filled,ST.nc
2019-07-14,5.12689209,filled,ST.nc
2019-07-15,2.524856567,filled,ST.nc
2019-07-16,3.472738028,filled,ST.nc
2019-07-17,3.911936998,filled,ST.nc
2019-07-18,,filled,ST.nc
2019-07-19,4.573239326,filled,ST.nc
2019-07-20,2.543628931,filled,ST.nc
2019-07-21,,filled,ST.nc
2019-07-22,,filled,ST.nc
