date,chlor_a,status,source_file
13/10/2018,,filled,ST.nc
14/10/2018,,filled,ST.nc
15/10/2018,1.984541178,filled,ST.nc
16/10/2018,1.888804793,filled,ST.nc
17/10/2018,,filled,ST.nc
18/10/2018,,filled,ST.nc
19/10/2018,1.935705185,filled,ST.nc
20/10/2018,,filled,ST.nc
21/10/2018,,filled,ST.nc
22/10/2018,,filled,ST.nc
23/10/2018,,filled,ST.nc
24/10/2018,,filled,ST.nc
25/10/2018,,filled,ST.nc
26/10/2018,2.010638475,filled,ST.nc
27/10/2018,2.166126966,filled,ST.nc
28/10/2018,2.796139956,filled,ST.nc
29/10/2018,,filled,ST.nc
30/10/2018,,filled,ST.nc
31/10/2018,,filled,ST.nc
1/11/2018,,filled,ST.nc
2/11/2018,,filled,ST.nc
3/11/2018,,filled,ST.nc
4/11/2018,2.813071966,filled,ST.nc
5/11/2018,,filled,ST.nc
6/11/2018,1.46864593,filled,ST.nc
7/11/2018,2.291420698,filled,ST.nc
8/11/2018,1.802506089,filled,ST.nc
9/11/2018,,filled,ST.nc
10/11/2018,,filled,ST.nc
11/11/2018,1.262615561,filled,ST.nc
12/11/2018,,filled,ST.nc
13/11/2018,,filled,ST.nc
14/11/2018,1.699922085,filled,ST.nc
15/11/2018,1.871717691,filled,ST.nc
16/11/2018,1.634912252,filled,ST.nc
17/11/2018,,filled,ST.nc
18/11/2018,1.520922303,filled,ST.nc
19/11/2018,,filled,ST.nc
20/11/2018,1.554101348,filled,ST.nc
21/11/2018,1.449690819,filled,ST.nc
22/11/2018,,filled,ST.nc
23/11/2018,1.558543921,filled,ST.nc
24/11/2018,1.295163512,filled,ST.nc
25/11/2018,,filled,ST.nc
26/11/2018,1.584659696,filled,ST.nc
27/11/2018,1.744856119,filled,ST.nc
28/11/2018,,filled,ST.nc
29/11/2018,1.645638585,filled,ST.nc
30/11/2018,2.158419847,filled,ST.nc
1/12/2018,,filled,ST.nc
2/12/2018,2.109061241,filled,ST.nc
3/12/2018,,filled,ST.nc
4/12/2018,,filled,ST.nc
5/12/2018,,filled,ST.nc
6/12/2018,1.969426155,filled,ST.nc
7/12/2018,1.635346651,filled,ST.nc
8/12/2018,1.628229976,filled,ST.nc
